stage,cycles_per_km,amplitude_levels
before,0.0008099757914435454,292610.03371031035
before,0.0016199515828870907,124177.17552710205
before,0.002429927374330636,56186.014670435754
before,0.0032399031657741814,53392.315018942616
before,0.004049878957217727,42498.76396874684
before,0.004859854748661272,26603.85977602266
before,0.0056698305401048175,23599.421484457253
before,0.006479806331548363,20049.509848551952
before,0.007289782122991908,14226.300244703023
before,0.008099757914435454,12954.466878817917
before,0.008909733705878999,12055.148216397429
before,0.009719709497322544,9990.72997385341
before,0.01052968528876609,8335.685582247272
before,0.011339661080209635,8052.4068284050545
before,0.012149636871653179,7251.9242141690265
before,0.012959612663096726,7030.956890961852
before,0.013769588454540271,5028.670758928065
before,0.014579564245983816,5241.6637087132685
before,0.01538954003742736,5125.4750606362095
before,0.016199515828870907,5034.148433801545
before,0.017009491620314454,4240.130647115002
before,0.017819467411757998,3756.729492101686
before,0.01862944320320154,3287.235235942076
before,0.01943941899464509,2871.280224832189
before,0.020249394786088636,3102.616402251671
before,0.02105937057753218,2759.3996220484664
before,0.021869346368975726,2518.595445287304
before,0.02267932216041927,2388.943032951618
before,0.023489297951862817,2440.766219997366
before,0.024299273743306357,2200.5347550781416
before,0.025109249534749904,1726.4511651481828
before,0.02591922532619345,1621.996630754663
before,0.026729201117636995,1594.2113543061528
before,0.027539176909080542,1570.3906842947906
before,0.02834915270052409,1351.9465110635106
before,0.029159128491967633,1431.492311475727
before,0.02996910428341118,1329.2483327880236
before,0.03077908007485472,1189.9046831862856
before,0.03158905586629827,1214.0093575938702
before,0.032399031657741814,1139.8269199962729
before,0.033209007449185354,1166.015756330762
before,0.03401898324062891,1253.3446443960456
before,0.03482895903207245,1272.1833672228252
before,0.035638934823515996,1113.0549254015843
before,0.03644891061495954,1013.9087248293126
before,0.03725888640640308,911.0672481087
before,0.03806886219784663,860.4898573307871
before,0.03887883798929018,832.5064791725222
before,0.039688813780733724,843.7892841517951
before,0.04049878957217727,759.4030646586393
before,0.04130876536362081,697.8721198240993
before,0.04211874115506436,651.9957249486032
before,0.0429287169465079,613.1616368005563
before,0.04373869273795145,665.7147709276103
before,0.04454866852939499,643.9721080427481
before,0.04535864432083854,618.3292348148341
before,0.04616862011228209,605.6218764483295
before,0.046978595903725634,574.8402433770624
before,0.047788571695169174,534.5586787505918
before,0.048598547486612714,494.14808276409025
before,0.04940852327805627,451.62178741445103
before,0.05021849906949981,468.9919550008264
before,0.051028474860943356,471.9414675574615
before,0.0518384506523869,441.935189996636
before,0.05264842644383045,441.22478635908215
before,0.05345840223527399,443.55304660352556
before,0.054268378026717544,403.2733091391885
before,0.055078353818161084,404.33632448180526
before,0.055888329609604624,375.0228376097731
before,0.05669830540104818,354.64515949779593
before,0.05750828119249172,345.02196956595355
before,0.058318256983935265,350.1712714812104
before,0.059128232775378806,340.75550560559435
before,0.05993820856682236,342.2563606022194
before,0.0607481843582659,326.2244903772867
before,0.06155816014970944,326.053403965167
before,0.062368135941152994,311.0764621051711
before,0.06317811173259653,293.02177673433664
before,0.06398808752404007,282.2473183674047
before,0.06479806331548363,287.5644462434824
before,0.06560803910692717,277.738759395856
before,0.06641801489837071,259.49929462181234
before,0.06722799068981426,253.39590206210892
before,0.06803796648125782,264.2003882111543
before,0.06884794227270136,239.09142375625487
before,0.0696579180641449,244.74466665996889
before,0.07046789385558845,239.40681742220312
before,0.07127786964703199,231.26712468134718
before,0.07208784543847553,220.52394037738966
before,0.07289782122991909,214.56505402440422
before,0.07370779702136263,214.98912025283568
before,0.07451777281280617,207.57161359347802
before,0.07532774860424972,216.1484858369184
before,0.07613772439569326,224.13527158350698
before,0.0769477001871368,213.1220108096891
before,0.07775767597858035,202.51775443688643
before,0.0785676517700239,193.00277398099686
before,0.07937762756146745,190.231317235404
before,0.08018760335291099,189.79194426947873
before,0.08099757914435454,182.00496559535156
before,0.08180755493579808,178.23302965481594
before,0.08261753072724162,166.0151060289223
before,0.08342750651868518,160.9498577790638
before,0.08423748231012872,152.10562408903897
before,0.08504745810157226,155.08071175292173
before,0.0858574338930158,168.1222088548415
before,0.08666740968445934,167.7033501908293
before,0.0874773854759029,164.03911674836922
before,0.08828736126734645,155.66072983013274
before,0.08909733705878999,152.66956115945217
before,0.08990731285023353,145.85295887343324
before,0.09071728864167708,151.25570647505512
before,0.09152726443312062,159.09125834433422
before,0.09233724022456417,147.08672899927518
before,0.09314721601600771,138.20472504235676
before,0.09395719180745127,143.02088688510403
before,0.09476716759889481,133.29380299200474
before,0.09557714339033835,137.55168387512128
before,0.09638711918178189,134.5179512581263
before,0.09719709497322543,135.56758098794003
before,0.098007070764669,143.19734002608064
before,0.09881704655611254,135.82690144591416
before,0.09962702234755608,133.0283638928245
before,0.10043699813899962,134.47320562689535
before,0.10124697393044316,127.26917855445848
before,0.10205694972188671,119.097593446748
before,0.10286692551333027,133.9747539747185
before,0.1036769013047738,128.92860251644674
before,0.10448687709621735,132.96657828957248
before,0.1052968528876609,135.5204245547701
before,0.10610682867910444,131.94236638614748
before,0.10691680447054798,122.83006198964627
before,0.10772678026199152,119.29856411732844
before,0.10853675605343509,128.01282056009444
before,0.10934673184487863,132.237504903636
before,0.11015670763632217,126.77007177153615
before,0.11096668342776571,119.53941243237885
before,0.11177665921920925,111.38517708721861
before,0.11258663501065279,113.6760677598815
before,0.11339661080209636,115.84342217372811
before,0.1142065865935399,110.8499015585882
before,0.11501656238498344,119.58063288865578
before,0.11582653817642698,121.45095975290326
before,0.11663651396787053,114.66276237542536
before,0.11744648975931407,117.80480818989241
before,0.11825646555075761,121.6345182102899
before,0.11906644134220117,121.34671984354782
before,0.11987641713364472,112.96968310105208
before,0.12068639292508826,120.25016696251113
before,0.1214963687165318,119.13701111212842
before,0.12230634450797534,112.87847258051595
before,0.12311632029941888,107.64064067485438
before,0.12392629609086245,107.13663833381239
before,0.12473627188230599,108.26979738631013
before,0.12554624767374953,108.77765595968778
before,0.12635622346519307,110.80697474638681
before,0.1271661992566366,113.90282262534186
before,0.12797617504808015,111.22618575961167
before,0.1287861508395237,109.16209558383247
before,0.12959612663096726,108.77776675296866
before,0.1304061024224108,111.89880065087478
before,0.13121607821385434,114.45771776706107
before,0.13202605400529788,109.5079116301102
before,0.13283602979674142,110.02242202314461
before,0.13364600558818499,108.38728377651732
before,0.13445598137962853,106.47644901712142
before,0.13526595717107207,110.26295815905743
before,0.13607593296251563,109.4467929577013
before,0.13688590875395917,103.05185692386844
before,0.1376958845454027,98.46777283374611
before,0.13850586033684625,98.30422636719084
before,0.1393158361282898,99.52131960769528
before,0.14012581191973336,105.40238396780829
before,0.1409357877111769,100.33982531952074
before,0.14174576350262044,96.85479778557918
before,0.14255573929406398,99.28151506657912
before,0.14336571508550752,101.07952377005262
before,0.14417569087695106,104.15052609273928
before,0.14498566666839463,97.63297862593248
before,0.14579564245983817,96.76711070170393
before,0.1466056182512817,98.56904358164927
before,0.14741559404272525,95.6013940076418
before,0.1482255698341688,96.73348928388198
before,0.14903554562561233,92.08127105295283
before,0.14984552141705587,88.30198045541631
before,0.15065549720849944,90.29653796171158
before,0.15146547299994298,92.45456163984919
before,0.15227544879138652,92.31640537673977
before,0.15308542458283006,91.93977897624069
before,0.1538954003742736,86.8910699669227
before,0.15470537616571714,82.46994966613316
before,0.1555153519571607,85.91122780515376
before,0.15632532774860425,89.93005683049773
before,0.1571353035400478,87.26830901604525
before,0.15794527933149133,88.41596391257359
before,0.1587552551229349,87.2772058115265
before,0.15956523091437844,83.97254232549508
before,0.16037520670582198,86.61051527877126
before,0.16118518249726552,85.68842055604702
before,0.16199515828870908,84.5262206527913
before,0.16280513408015262,84.44984768576866
before,0.16361510987159616,82.11917738899952
before,0.1644250856630397,78.48486863272973
before,0.16523506145448325,78.06120026262504
before,0.1660450372459268,78.54982141180591
before,0.16685501303737035,80.68673561619063
before,0.1676649888288139,79.32281035783957
before,0.16847496462025743,77.43438585287925
before,0.16928494041170097,76.3184107783747
before,0.1700949162031445,78.53842514564114
before,0.17090489199458805,75.84105481950988
before,0.1717148677860316,75.25689676286383
before,0.17252484357747513,77.24697379258859
before,0.17333481936891867,76.95050280575167
before,0.17414479516036227,77.77847156102933
