# barony_id,x,y,note
# PROTOTYPE, NOT WIRED IN. Candidate barony seeds derived from the CK2
# positions.txt slots; same format as overrides/barony_seeds.csv, so a
# reviewer can copy rows across.  x,y are canvas pixels of the generated
# map_data/provinces.png, top-left origin.
# Generated by scripts/barony_seeds_from_ck2_positions.py.
# Only the slot-0 (capital/city) and slot-4 (port) rows carry a meaning
# CK2 itself gives the slot; the rest are geometry, not semantics.
# See docs/map_fidelity.md.
b_abarun,7058,1014,c_abarun tribal_holding <- slot0 capital/city
b_abreon,3233,3503,c_abreon city_holding <- slot0 capital/city
b_st_blencagolph,3253,3515,c_abreon church_holding <- slot1 (farthest free in-county slot)
b_achelar,3833,3840,c_achelar castle_holding <- slot0 capital/city
b_ravamyar_wood,3815,3851,c_achelar city_holding <- slot4 port
b_huorm,5725,3257,c_adamas_tooth city_holding <- slot0 capital/city
b_mulur,5696,3230,c_adamas_tooth castle_holding <- slot6 (farthest free in-county slot)
b_hall_of_kings,2922,498,c_adbarrim castle_holding <- slot0 capital/city
b_adbarrim,2932,488,c_adbarrim city_holding <- slot4 port
b_vetkth,4503,3638,c_addak tribal_holding <- slot0 capital/city
b_baex,4486,2344,c_adder_swamp church_holding <- slot0 capital/city
b_adder_point,4212,2665,c_adder_woods tribal_holding <- slot0 capital/city
b_adderspring,4400,2604,c_adderspring castle_holding <- slot0 capital/city
b_adhal,5275,5372,c_adhal castle_holding <- slot0 capital/city
b_yagrah,5273,5385,c_adhal city_holding <- slot4 port
b_adrila,5826,5415,c_adrila castle_holding <- slot0 capital/city
b_banyshu,5340,3251,c_aerilpar_forest tribal_holding <- slot0 capital/city
b_duhlnarim,3387,2456,c_ahlarkhem castle_holding <- slot0 capital/city
b_furrowswich,3393,2468,c_ahlarkhem city_holding <- slot4 port
b_saarlik,3372,2479,c_ahlarkhem church_holding <- slot5 (farthest free in-county slot)
b_ahma,2432,3593,c_ahma tribal_holding <- slot0 capital/city
b_ahruukar,4732,1748,c_ahruukar castle_holding <- slot0 capital/city
b_arau,4742,1739,c_ahruukar city_holding <- slot4 port
b_vardetor,4752,1760,c_ahruukar church_holding <- slot1 (farthest free in-county slot)
b_ahtitlak,4257,961,c_ahtitlak tribal_holding <- slot0 capital/city
b_takari,4308,965,c_ahtitlak church_holding <- slot4 (farthest free in-county slot)
b_aib,5586,5565,c_aib castle_holding <- slot0 capital/city
b_abu_azada,5635,5593,c_aib city_holding <- slot1 (farthest free in-county slot)
b_aina,5000,2636,c_aina castle_holding <- slot0 capital/city
b_espesha,4992,2690,c_aina city_holding <- slot5 (farthest free in-county slot)
